Time,Conditions
2014010520,Light Rain
2014010521,Fog
2014010522,Fog
2014010600,Light Rain
2014010601,Overcast
2014010602,Overcast
2014010603,Overcast
2014010604,Overcast
2014010605,Fog
2014010606,Fog
2014010607,Light Rain
2014010608,Light Rain
2014010609,Light Rain
2014010610,Mostly Cloudy
2014010611,Light Rain
2014010612,Light Rain
2014010613,Overcast
2014010614,Overcast
2014010615,Overcast
2014010616,Overcast
2014010617,Overcast
2014010618,Overcast
2014010619,Overcast
2014010620,Mostly Cloudy
2014010621,Clear
2014010622,Clear
2014010623,Clear
2014010700,Clear
2014010701,Clear
2014010702,Clear
2014010703,Clear
2014010704,Clear
2014010705,Clear
2014010706,Clear
2014010707,Clear
2014010708,Clear
2014010709,Clear
2014010710,Clear
2014010711,Clear
2014010712,Clear
2014010713,Clear
2014010714,Clear
2014010715,Clear
2014010716,Clear
2014010717,Clear
2014010718,Clear
2014010719,Clear
2014010720,Clear
2014010721,Clear
2014010722,Clear
2014010723,Clear
2014010800,Clear
2014010801,Clear
2014010802,Clear
2014010803,Clear
2014010804,Clear
2014010805,Clear
2014010806,Clear
2014010807,Clear
2014010808,Clear
2014010809,Clear
2014010810,Clear
2014010811,Scattered Clouds
2014010812,Clear
2014010813,Overcast
2014010814,Scattered Clouds
2014010815,Clear
2014010816,Clear
2014010817,Clear
2014010818,Clear
2014010819,Clear
2014010820,Clear
2014010821,Overcast
2014010822,Overcast
2014010823,Overcast
2014010900,Overcast
2014010901,Overcast
2014010902,Clear
2014010903,Clear
2014010904,Clear
2014010905,Clear
2014010906,Clear
2014010907,Clear
2014010908,Clear
2014010909,Clear
2014010910,Clear
2014010911,Clear
2014010912,Clear
2014010913,Clear
2014010914,Clear
2014010915,Clear
2014010916,Clear
2014010918,Clear
2014010919,Clear
2014010920,Clear
2014010921,Clear
2014010922,Scattered Clouds
2014010923,Partly Cloudy
2014011000,Partly Cloudy
2014011001,Mostly Cloudy
2014011002,Overcast
2014011002,Overcast
2014011002,Overcast
2014011003,Overcast
2014011004,Overcast
2014011005,Overcast
2014011006,Overcast
2014011006,Overcast
2014011007,Overcast
2014011008,Haze
2014011008,Haze
2014011008,Overcast
2014011008,Overcast
2014011008,Light Snow
2014011009,Light Snow
2014011009,Light Snow
2014011009,Light Snow
2014011010,Overcast
2014011010,Light Rain
2014011010,Overcast
2014011010,Overcast
2014011011,Overcast
2014011011,Overcast
2014011011,Overcast
2014011011,Overcast
2014011012,Overcast
2014011012,Overcast
2014011012,Haze
2014011013,Overcast
2014011013,Overcast
2014011013,Haze
2014011014,Overcast
2014011014,Overcast
2014011014,Overcast
2014011015,Overcast
2014011015,Overcast
2014011016,Overcast
2014011016,Overcast
2014011016,Overcast
2014011017,Overcast
2014011017,Overcast
2014011018,Overcast
2014011018,Overcast
2014011019,Overcast
2014011020,Overcast
2014011021,Overcast
2014011021,Overcast
2014011021,Overcast
2014011022,Overcast
2014011022,Overcast
2014011022,Overcast
2014011023,Overcast
2014011023,Overcast
2014011023,Overcast
2014011023,Overcast
2014011100,Overcast
2014011100,Overcast
2014011101,Overcast
2014011101,Overcast
2014011101,Light Rain
2014011101,Overcast
2014011102,Light Rain
2014011102,Overcast
2014011102,Overcast
2014011103,Overcast
2014011104,Overcast
2014011104,Overcast
2014011104,Light Rain
2014011105,Overcast
2014011105,Overcast
2014011106,Overcast
2014011106,Overcast
2014011106,Overcast
2014011107,Overcast
2014011108,Overcast
2014011108,Overcast
2014011108,Fog
2014011108,Fog
2014011109,Overcast
2014011109,Overcast
2014011109,Fog
2014011110,Light Rain
2014011110,Overcast
2014011110,Overcast
2014011111,Overcast
2014011112,Overcast
2014011112,Overcast
2014011113,Overcast
2014011113,Overcast
2014011114,Overcast
2014011114,Overcast
2014011114,Overcast
2014011115,Overcast
2014011115,Overcast
2014011116,Overcast
2014011116,Light Rain
2014011116,Light Rain
2014011116,Overcast
2014011117,Heavy Rain
2014011117,Light Rain
2014011118,Light Rain
2014011119,Overcast
2014011120,Mostly Cloudy
2014011121,Overcast
2014011122,Overcast
2014011122,Overcast
2014011123,Overcast
2014011123,Overcast
2014011123,Overcast
2014011123,Overcast
2014011200,Overcast
2014011200,Overcast
2014011200,Light Rain
2014011200,Heavy Rain
2014011200,Light Rain
2014011200,Overcast
2014011200,Light Rain
2014011201,Overcast
2014011202,Overcast
2014011203,Mostly Cloudy
2014011204,Scattered Clouds
2014011205,Partly Cloudy
2014011206,Scattered Clouds
2014011207,Overcast
2014011208,Overcast
2014011209,Overcast
2014011210,Overcast
2014011211,Overcast
2014011212,Overcast
2014011213,Mostly Cloudy
2014011214,Scattered Clouds
2014011215,Mostly Cloudy
2014011216,Scattered Clouds
2014011217,Clear
2014011218,Clear
2014011219,Clear
2014011220,Clear
2014011221,Clear
2014011222,Clear
2014011223,Clear
2014011300,Clear
2014011301,Clear
2014011302,Clear
2014011303,Clear
2014011304,Clear
2014011305,Clear
2014011306,Clear
2014011307,Clear
2014011308,Clear
2014011309,Clear
2014011310,Clear
2014011311,Clear
2014011312,Clear
2014011313,Clear
2014011314,Clear
2014011315,Clear
2014011316,Clear
2014011317,Clear
2014011318,Clear
2014011319,Clear
2014011321,Clear
2014011322,Clear
2014011323,Clear
2014011400,Clear
2014011401,Clear
2014011402,Scattered Clouds
2014011403,Overcast
2014011404,Overcast
2014011405,Overcast
2014011406,Overcast
2014011407,Light Rain
2014011408,Light Rain
2014011409,Overcast
2014011410,Light Rain
2014011412,Overcast
2014011413,Light Rain
2014011414,Rain
2014011415,Light Rain
2014011416,Overcast
2014011417,Overcast
2014011418,Mostly Cloudy
2014011419,Overcast
2014011420,Overcast
2014011421,Partly Cloudy
2014011422,Clear
2014011423,Overcast
2014011500,Scattered Clouds
2014011501,Unknown
2014011502,Unknown
2014011503,Unknown
2014011504,Unknown
2014011505,Unknown
2014011506,Unknown
2014011507,Unknown
2014011508,Unknown
2014011509,Unknown
2014011511,Unknown
2014011512,Unknown
2014011514,Unknown
2014011515,Unknown
2014011516,Unknown
2014011517,Unknown
2014011518,Unknown
2014011519,Unknown
2014011520,Unknown
2014011521,Unknown
2014011522,Unknown
2014011523,Unknown
2014011600,Unknown
2014011601,Unknown
2014011602,Unknown
2014011603,Unknown
2014011604,Unknown
2014011605,Unknown
2014011606,Unknown
2014011607,Unknown
2014011608,Unknown
2014011609,Unknown
2014011610,Unknown
2014011611,Unknown
2014011612,Unknown
2014011613,Overcast
2014011614,Unknown
2014011615,Unknown
2014011616,Unknown
2014011617,Unknown
2014011618,Unknown
2014011619,Unknown
2014011620,Unknown
2014011621,Unknown
2014011622,Unknown
2014011623,Unknown
2014011700,Unknown
2014011701,Unknown
2014011702,Unknown
2014011703,Unknown
2014011704,Unknown
2014011705,Unknown
2014011706,Unknown
2014011707,Unknown
2014011708,Unknown
2014011709,Unknown
2014011710,Unknown
2014011711,Unknown
2014011712,Unknown
2014011713,Unknown
2014011714,Unknown
2014011715,Unknown
2014011716,Unknown
2014011717,Unknown
2014011718,Unknown
2014011719,Unknown
2014011720,Unknown
2014011721,Unknown
2014011722,Unknown
2014011723,Unknown
2014011800,Unknown
2014011801,Unknown
2014011802,Unknown
2014011803,Unknown
2014011804,Unknown
2014011805,Unknown
2014011806,Unknown
2014011807,Unknown
2014011810,Unknown
2014011811,Unknown
2014011812,Unknown
2014011813,Unknown
2014011814,Unknown
2014011815,Unknown
2014011816,Unknown
2014011817,Unknown
2014011818,Unknown
2014011819,Unknown
2014011820,Unknown
2014011821,Unknown
2014011822,Unknown
2014011823,Unknown
2014011900,Unknown
2014011901,Unknown
2014011902,Unknown
2014011903,Unknown
2014011904,Unknown
2014011905,Unknown
2014011906,Unknown
2014011907,Unknown
2014011908,Unknown
2014011909,Unknown
2014011910,Unknown
2014011911,Unknown
2014011912,Unknown
2014011913,Unknown
2014011914,Unknown
2014011915,Unknown
2014011916,Unknown
2014011916,Unknown
2014011917,Unknown
2014011917,Unknown
2014011918,Unknown
2014011919,Unknown
2014011920,Unknown
2014011921,Unknown
2014011922,Unknown
2014011923,Unknown
2014012000,Unknown
2014012001,Unknown
2014012002,Unknown
2014012003,Unknown
2014012004,Unknown
2014012005,Unknown
2014012006,Unknown
2014012007,Unknown
2014012008,Unknown
2014012009,Unknown
2014012010,Unknown
2014012011,Unknown
2014012012,Unknown
2014012013,Unknown
2014012014,Unknown
2014012015,Unknown
2014012016,Unknown
2014012017,Unknown
2014012018,Unknown
2014012019,Unknown
2014012020,Unknown
2014012021,Unknown
2014012022,Unknown
2014012023,Unknown
2014012100,Unknown
2014012101,Unknown
2014012102,Unknown
2014012103,Unknown
2014012104,Unknown
2014012105,Unknown
2014012106,Unknown
2014012107,Unknown
2014012108,Unknown
2014012109,Unknown
2014012110,Unknown
2014012111,Unknown
2014012112,Unknown
2014012113,Unknown
2014012114,Unknown
2014012115,Unknown
2014012116,Unknown
2014012117,Unknown
2014012118,Unknown
2014012119,Unknown
2014012120,Unknown
2014012121,Unknown
2014012122,Unknown
2014012123,Unknown
2014012200,Unknown
2014012201,Unknown
2014012202,Unknown
2014012203,Unknown
2014012204,Unknown
2014012205,Unknown
2014012206,Unknown
2014012207,Unknown
2014012208,Unknown
2014012209,Unknown
2014012210,Unknown
2014012211,Unknown
2014012212,Unknown
2014012213,Unknown
2014012214,Unknown
2014012215,Unknown
2014012216,Unknown
2014012217,Unknown
2014012218,Unknown
2014012219,Unknown
2014012220,Unknown
2014012221,Unknown
2014012222,Unknown
2014012223,Unknown
2014012300,Unknown
2014012301,Unknown
2014012302,Unknown
2014012303,Unknown
2014012304,Unknown
2014012305,Unknown
2014012306,Unknown
2014012307,Unknown
2014012308,Unknown
2014012309,Unknown
2014012310,Unknown
2014012311,Unknown
2014012312,Unknown
2014012313,Unknown
2014012314,Unknown
2014012315,Unknown
2014012317,Unknown
2014012318,Unknown
2014012319,Unknown
2014012320,Unknown
2014012322,Unknown
2014012323,Unknown
2014012400,Unknown
2014012401,Unknown
2014012402,Unknown
2014012403,Unknown
2014012404,Unknown
2014012405,Unknown
2014012406,Unknown
2014012407,Unknown
2014012408,Unknown
2014012409,Unknown
2014012410,Unknown
2014012411,Unknown
2014012412,Unknown
2014012413,Unknown
2014012414,Unknown
2014012415,Unknown
2014012416,Unknown
2014012417,Unknown
2014012418,Unknown
2014012419,Unknown
2014012420,Unknown
2014012421,Unknown
2014012422,Unknown
2014012423,Unknown
2014012500,Unknown
2014012501,Unknown
2014012502,Unknown
2014012503,Unknown
2014012504,Unknown
2014012505,Unknown
2014012506,Unknown
2014012507,Unknown
2014012508,Unknown
2014012509,Unknown
2014012510,Unknown
2014012511,Overcast
2014012512,Overcast
2014012513,Light Snow
2014012514,Light Snow
2014012515,Light Snow
2014012516,Heavy Snow
2014012518,Overcast
2014012519,Mostly Cloudy
2014012520,Scattered Clouds
2014012521,Clear
2014012522,Clear
2014012523,Clear
2014012600,Partly Cloudy
2014012601,Clear
2014012602,Clear
2014012604,Clear
2014012605,Clear
2014012606,Clear
2014012607,Clear
2014012608,Scattered Clouds
2014012609,Clear
2014012610,Clear
2014012611,Clear
2014012612,Clear
2014012613,Overcast
2014012614,Overcast
2014012615,Overcast
2014012616,Mostly Cloudy
2014012618,Overcast
2014012619,Overcast
2014012620,Overcast
2014012621,Overcast
2014012622,Overcast
2014012623,Overcast
2014012700,Overcast
2014012701,Clear
2014012702,Clear
2014012703,Partly Cloudy
2014012704,Clear
2014012705,Overcast
2014012706,Overcast
2014012707,Overcast
2014012708,Overcast
2014012709,Scattered Clouds
2014012710,Mostly Cloudy
2014012711,Clear
2014012712,Clear
2014012713,Overcast
2014012714,Overcast
2014012715,Overcast
2014012716,Overcast
2014012717,Overcast
2014012718,Clear
2014012719,Clear
2014012720,Clear
2014012721,Clear
2014012722,Clear
2014012723,Clear
2014012800,Clear
2014012802,Clear
2014012803,Partly Cloudy
2014012804,Partly Cloudy
2014012805,Clear
2014012806,Clear
2014012807,Clear
2014012808,Clear
2014012809,Clear
2014012810,Clear
2014012811,Clear
2014012812,Clear
2014012813,Partly Cloudy
2014012814,Scattered Clouds
2014012815,Mostly Cloudy
2014012816,Overcast
2014012817,Overcast
2014012818,Overcast
2014012819,Overcast
2014012820,Overcast
2014012821,Overcast
2014012822,Overcast
2014012823,Overcast
2014012900,Light Snow
2014012901,Light Snow
2014012902,Light Snow
2014012903,Light Snow
2014012904,Light Snow
2014012905,Overcast
2014012906,Mostly Cloudy
2014012907,Clear
2014012908,Clear
2014012909,Clear
2014012910,Clear
2014012911,Clear
2014012912,Clear
2014012913,Clear
2014012914,Clear
2014012915,Clear
2014012916,Clear
2014012917,Clear
2014012918,Clear
2014012919,Clear
2014012920,Clear
2014012921,Clear
2014012922,Clear
2014012923,Clear
2014013000,Clear
2014013001,Clear
2014013002,Clear
2014013003,Clear
2014013004,Clear
2014013005,Clear
2014013006,Clear
2014013007,Clear
2014013008,Clear
2014013009,Clear
2014013010,Clear
2014013011,Clear
2014013012,Clear
2014013013,Clear
2014013014,Clear
2014013015,Clear
2014013016,Clear
2014013017,Clear
2014013018,Clear
2014013019,Clear
2014013020,Clear
2014013021,Clear
2014013022,Clear
2014013023,Clear
2014013100,Mostly Cloudy
2014013101,Clear
2014013102,Clear
2014013103,Clear
2014013104,Clear
2014013105,Clear
2014013106,Overcast
2014013107,Mostly Cloudy
2014013108,Mostly Cloudy
2014013109,Overcast
2014013110,Overcast
2014013111,Overcast
2014013112,Overcast
2014013113,Mostly Cloudy
2014013114,Mostly Cloudy
2014013115,Overcast
2014013116,Mostly Cloudy
2014013117,Scattered Clouds
2014013118,Overcast
2014013119,Clear
2014013120,Clear
2014013121,Overcast
2014013122,Mostly Cloudy
2014013123,Clear
2014020100,Clear
2014020101,Clear
2014020102,Mostly Cloudy
2014020103,Clear
2014020104,Clear
2014020105,Clear
2014020106,Clear
2014020107,Clear
2014020108,Clear
2014020109,Clear
2014020110,Clear
2014020111,Clear
2014020112,Clear
2014020113,Clear
2014020114,Clear
2014020115,Clear
2014020116,Clear
2014020117,Clear
2014020118,Clear
2014020119,Clear
2014020121,Clear
2014020122,Clear
2014020123,Haze
2014020200,Haze
2014020201,Haze
2014020202,Haze
2014020203,Haze
2014020204,Clear
2014020205,Clear
2014020206,Clear
2014020207,Haze
2014020208,Clear
2014020209,Clear
2014020210,Clear
2014020211,Mostly Cloudy
2014020212,Overcast
2014020213,Overcast
2014020214,Partly Cloudy
2014020215,Clear
2014020216,Clear
2014020217,Overcast
2014020218,Partly Cloudy
2014020219,Overcast
2014020220,Overcast
2014020221,Overcast
2014020222,Overcast
2014020223,Overcast
2014020300,Light Rain
2014020301,Light Rain
2014020302,Light Rain
2014020303,Light Snow
2014020304,Light Snow
2014020305,Light Snow
2014020305,Light Snow
2014020305,Light Snow
2014020306,Light Snow
2014020306,Snow
2014020307,Snow
2014020308,Snow
2014020309,Snow
2014020310,Snow
2014020311,Snow
2014020312,Snow
2014020313,Snow
2014020314,Light Snow
2014020315,Snow
2014020316,Snow
2014020317,Light Snow
2014020318,Overcast
2014020319,Overcast
2014020320,Haze
2014020321,Haze
2014020322,Haze
2014020323,Haze
2014020400,Haze
2014020401,Haze
2014020402,Haze
2014020403,Haze
2014020403,Haze
2014020404,Haze
2014020405,Haze
2014020406,Haze
2014020407,Haze
2014020408,Haze
2014020409,Haze
2014020410,Haze
2014020411,Haze
2014020412,Haze
2014020413,Partly Cloudy
2014020414,Mostly Cloudy
2014020415,Scattered Clouds
2014020416,Overcast
2014020417,Mostly Cloudy
2014020418,Overcast
2014020419,Partly Cloudy
2014020421,Overcast
2014020422,Overcast
2014020423,Overcast
2014020500,Overcast
2014020501,Light Snow
2014020502,Light Snow
2014020503,Heavy Snow
2014020504,Overcast
2014020505,Light Freezing Rain
2014020506,Light Freezing Rain
2014020507,Light Freezing Rain
2014020508,Light Freezing Rain
2014020509,Overcast
2014020510,Overcast
2014020511,Overcast
2014020512,Overcast
2014020513,Overcast
2014020514,Overcast
2014020515,Overcast
2014020516,Overcast
2014020517,Overcast
2014020518,Overcast
2014020519,Overcast
2014020520,Overcast
2014020521,Overcast
2014020522,Overcast
2014020523,Overcast
2014020600,Overcast
2014020601,Clear
2014020602,Overcast
2014020603,Overcast
2014020604,Unknown
2014020605,Unknown
2014020606,Unknown
2014020607,Unknown
2014020608,Unknown
2014020609,Unknown
2014020610,Unknown
2014020611,Unknown
2014020612,Unknown
2014020613,Unknown
2014020614,Unknown
2014020615,Clear
2014020616,Clear
2014020617,Clear
2014020618,Clear
2014020619,Clear
2014020620,Clear
2014020621,Clear
2014020623,Clear
2014020700,Clear
2014020701,Clear
2014020702,Clear
2014020703,Partly Cloudy
2014020704,Clear
2014020705,Clear
2014020706,Clear
2014020707,Clear
2014020708,Clear
2014020709,Clear
2014020710,Clear
2014020711,Clear
2014020712,Clear
2014020713,Clear
2014020714,Clear
2014020715,Clear
2014020716,Clear
2014020717,Clear
2014020718,Clear
2014020719,Clear
2014020720,Clear
2014020721,Clear
2014020722,Clear
2014020723,Clear
2014020800,Clear
2014020801,Clear
2014020802,Clear
2014020803,Clear
2014020804,Clear
2014020805,Clear
2014020806,Clear
2014020807,Clear
2014020808,Clear
2014020809,Clear
2014020810,Clear
2014020811,Clear
2014020812,Overcast
2014020813,Partly Cloudy
2014020814,Overcast
2014020815,Overcast
2014020816,Mostly Cloudy
2014020817,Overcast
2014020818,Clear
2014020819,Overcast
2014020820,Partly Cloudy
2014020821,Partly Cloudy
2014020822,Clear
2014020823,Partly Cloudy
2014020900,Clear
2014020901,Clear
2014020902,Clear
2014020903,Clear
2014020904,Clear
2014020905,Mostly Cloudy
2014020906,Clear
2014020907,Clear
2014020908,Clear
2014020909,Clear
2014020910,Clear
2014020911,Clear
2014020912,Clear
2014020913,Clear
2014020914,Partly Cloudy
2014020915,Overcast
2014020916,Overcast
2014020917,Light Snow
2014020917,Light Snow
2014020918,Light Snow
2014020918,Light Snow
2014020918,Snow
2014020919,Snow
2014020919,Light Snow
2014020919,Light Snow
2014020920,Light Snow
2014020920,Light Snow
2014020920,Light Snow
2014020920,Light Snow
2014020920,Light Snow
2014020920,Light Snow
2014020921,Light Snow
2014020921,Light Snow
2014020921,Light Snow
2014020921,Light Snow
2014020922,Light Snow
2014020922,Haze
2014020922,Haze
2014020923,Haze
2014020923,Scattered Clouds
2014020923,Partly Cloudy
2014021000,Clear
2014021001,Clear
2014021002,Clear
2014021003,Clear
2014021004,Clear
2014021005,Clear
2014021006,Clear
2014021007,Clear
2014021008,Clear
2014021009,Clear
2014021010,Clear
2014021011,Clear
2014021012,Clear
2014021013,Scattered Clouds
2014021014,Scattered Clouds
2014021015,Clear
2014021016,Clear
2014021017,Clear
2014021018,Clear
2014021019,Clear
2014021020,Clear
2014021021,Clear
2014021022,Clear
2014021023,Clear
2014021100,Clear
2014021101,Clear
2014021102,Clear
2014021103,Clear
2014021104,Clear
2014021105,Clear
2014021106,Clear
2014021107,Clear
2014021108,Clear
2014021109,Clear
2014021110,Clear
2014021111,Clear
2014021112,Clear
2014021113,Clear
2014021114,Clear
2014021115,Clear
2014021116,Clear
2014021117,Clear
2014021118,Clear
2014021119,Clear
2014021120,Clear
2014021121,Clear
2014021122,Clear
2014021123,Clear
2014021200,Clear
2014021201,Clear
2014021202,Clear
2014021203,Clear
2014021204,Clear
2014021205,Clear
2014021206,Clear
2014021207,Clear
2014021208,Clear
2014021209,Clear
2014021210,Clear
2014021211,Clear
2014021212,Clear
2014021213,Clear
2014021214,Clear
2014021215,Clear
2014021216,Clear
2014021217,Clear
2014021218,Clear
2014021219,Clear
2014021220,Mostly Cloudy
2014021220,Overcast
2014021221,Overcast
2014021222,Overcast
2014021222,Overcast
2014021222,Overcast
2014021223,Overcast
2014021300,Light Snow
2014021300,Light Snow
2014021301,Light Snow
2014021301,Light Snow
2014021302,Light Snow
2014021302,Light Snow
2014021302,Light Snow
2014021303,Light Snow
2014021303,Light Snow
2014021304,Light Snow
2014021305,Light Snow
2014021305,Snow
2014021306,Snow
2014021307,Snow
2014021308,Snow
2014021309,Snow
2014021310,Light Snow
2014021310,Light Snow
2014021311,Light Snow
2014021311,Light Snow
2014021311,Light Rain
2014021311,Rain
2014021312,Rain
2014021312,Light Rain
2014021313,Light Rain
2014021313,Light Rain
2014021313,Light Rain
2014021313,Light Rain
2014021314,Overcast
2014021314,Overcast
2014021315,Overcast
2014021315,Overcast
2014021316,Overcast
2014021317,Overcast
2014021318,Overcast
2014021318,Overcast
2014021319,Overcast
2014021320,Rain
2014021320,Rain
2014021320,Rain
2014021321,Heavy Rain
2014021321,Heavy Rain
2014021321,Light Rain
2014021322,Rain
2014021322,Overcast
2014021323,Overcast
2014021323,Overcast
2014021400,Light Rain
2014021400,Light Snow
2014021400,Light Snow
2014021400,Light Snow
2014021401,Light Snow
2014021401,Snow
2014021401,Snow
2014021402,Snow
2014021402,Snow
2014021403,Light Snow
2014021404,Light Snow
2014021404,Light Snow
2014021404,Light Snow
2014021405,Haze
2014021405,Haze
2014021405,Haze
2014021406,Haze
2014021407,Haze
2014021408,Clear
2014021409,Clear
2014021410,Clear
2014021411,Clear
2014021412,Clear
2014021413,Mostly Cloudy
2014021414,Clear
2014021415,Scattered Clouds
2014021416,Partly Cloudy
2014021417,Clear
2014021418,Clear
2014021419,Clear
2014021420,Clear
2014021421,Clear
2014021422,Clear
2014021423,Clear
2014021500,Overcast
2014021501,Scattered Clouds
2014021502,Overcast
2014021503,Overcast
2014021504,Overcast
2014021505,Overcast
2014021506,Mostly Cloudy
2014021507,Overcast
2014021508,Overcast
2014021509,Overcast
2014021510,Haze
2014021511,Light Snow
2014021511,Light Snow
2014021511,Light Snow
2014021511,Light Snow
2014021512,Light Snow
2014021512,Light Snow
2014021512,Haze
2014021512,Haze
2014021513,Haze
2014021514,Overcast
2014021515,Light Snow
2014021515,Light Snow
2014021516,Light Snow
2014021516,Snow
2014021517,Light Snow
2014021518,Light Snow
2014021518,Light Snow
2014021518,Light Snow
2014021518,Light Snow
2014021519,Light Snow
2014021519,Light Snow
2014021520,Haze
2014021520,Haze
2014021521,Partly Cloudy
2014021522,Clear
2014021523,Clear
2014021601,Clear
2014021602,Clear
2014021603,Clear
2014021605,Clear
2014021606,Clear
2014021607,Clear
2014021608,Clear
2014021609,Clear
2014021610,Clear
2014021611,Clear
2014021612,Partly Cloudy
2014021613,Mostly Cloudy
2014021614,Overcast
2014021615,Overcast
2014021616,Overcast
2014021617,Mostly Cloudy
2014021618,Overcast
2014021619,Scattered Clouds
2014021620,Mostly Cloudy
2014021621,Mostly Cloudy
2014021622,Clear
2014021701,Clear
2014021702,Clear
2014021703,Clear
2014021704,Clear
2014021705,Clear
2014021706,Clear
2014021707,Clear
2014021708,Clear
2014021709,Clear
2014021710,Clear
2014021711,Clear
2014021712,Clear
2014021713,Clear
2014021714,Clear
2014021715,Clear
2014021716,Clear
2014021717,Clear
2014021718,Clear
2014021719,Clear
2014021720,Clear
2014021721,Clear
2014021722,Clear
2014021801,Mostly Cloudy
2014021802,Clear
2014021803,Mostly Cloudy
2014021804,Overcast
2014021805,Light Snow
2014021805,Light Snow
2014021805,Light Snow
2014021806,Light Snow
2014021806,Light Snow
2014021807,Light Snow
2014021807,Snow
2014021808,Light Snow
2014021808,Snow
2014021808,Light Snow
2014021809,Overcast
2014021809,Overcast
2014021809,Overcast
2014021810,Overcast
2014021811,Overcast
2014021812,Haze
2014021813,Haze
2014021814,Haze
2014021814,Scattered Clouds
2014021815,Mostly Cloudy
2014021816,Mostly Cloudy
2014021817,Clear
2014021818,Clear
2014021819,Clear
2014021820,Clear
2014021821,Clear
2014021822,Clear
2014021823,Clear
2014021900,Clear
2014021901,Clear
2014021902,Clear
2014021903,Clear
2014021904,Clear
2014021905,Clear
2014021906,Clear
2014021907,Clear
2014021908,Clear
2014021909,Haze
2014021910,Haze
2014021910,Haze
2014021911,Light Rain
2014021911,Heavy Rain
2014021912,Light Rain
2014021913,Overcast
2014021913,Overcast
2014021914,Mostly Cloudy
2014021914,Haze
2014021914,Haze
2014021915,Haze
2014021916,Haze
2014021917,Light Rain
2014021918,Haze
2014021919,Haze
2014021920,Haze
2014021921,Clear
2014021922,Clear
2014021923,Clear
2014022000,Clear
2014022001,Clear
2014022002,Clear
2014022003,Clear
2014022004,Clear
2014022005,Clear
2014022006,Clear
2014022007,Clear
2014022008,Clear
2014022009,Clear
2014022010,Clear
2014022011,Clear
2014022012,Clear
2014022013,Clear
2014022014,Overcast
2014022015,Overcast
2014022016,Overcast
2014022017,Overcast
2014022020,Overcast
2014022020,Overcast
2014022021,Light Rain
2014022021,Overcast
2014022022,Overcast
2014022022,Overcast
2014022022,Overcast
2014022022,Overcast
2014022023,Overcast
2014022023,Overcast
2014022100,Overcast
2014022100,Overcast
2014022100,Overcast
2014022100,Overcast
2014022101,Overcast
2014022101,Overcast
2014022102,Overcast
2014022102,Overcast
2014022103,Overcast
2014022103,Overcast
2014022104,Overcast
2014022105,Overcast
2014022106,Overcast
2014022106,Overcast
2014022107,Overcast
2014022107,Overcast
2014022108,Overcast
2014022108,Overcast
2014022109,Overcast
2014022110,Overcast
2014022111,Fog
