season,hood,m_hood,cnt
Summer,Clinton,New York City-Manhattan	,50660
Summer,Greenwich Village,New York City-Manhattan	,47457
Summer,Financial District,New York City-Manhattan	,47224
Summer,Inwood,New York City-Manhattan	,46966
Summer,Utopia,New York City-Queens	,41668
Summer,Murray Hill,New York City-Manhattan	,40871
Summer,Fordham,New York City-Bronx	,39953
Summer,Woodhaven-Richmond Hill,New York City-Queens	,39719
Summer,Morris Heights,New York City-Bronx	,37769
Summer,Central Park,New York City-Manhattan	,36817
Summer,Bedford Park,New York City-Bronx	,36318
Summer,Ridgewood,New York City-Queens	,36042
Summer,Gravesend-Sheepshead Bay,New York City-Brooklyn	,35758
Summer,Soho,New York City-Manhattan	,35561
Summer,Parkchester,New York City-Bronx	,34469
Summer,Carnegie Hill,New York City-Manhattan	,33752
Summer,Mapleton-Flatlands,New York City-Brooklyn	,32170
Summer,Greenwood,New York City-Brooklyn	,31023
Summer,Cobble Hill,New York City-Brooklyn	,30326
Summer,University Heights,New York City-Bronx	,30219
Summer,Soundview,New York City-Bronx	,30190
Summer,Tribeca,New York City-Manhattan	,29861
Summer,Sunset Park,New York City-Brooklyn	,29801
Summer,West Village,New York City-Manhattan	,28162
Summer,Borough Park,New York City-Brooklyn	,25372
Summer,Brownsville,New York City-Brooklyn	,24293
Summer,East Brooklyn,New York City-Brooklyn	,23961
Summer,Middle Village,New York City-Queens	,22577
Summer,Bay Ridge,New York City-Brooklyn	,20446
Summer,Queensboro Hill,New York City-Queens	,19935
Summer,Kings Bridge,New York City-Bronx	,19234
Summer,Morris Park,New York City-Bronx	,18914
Summer,Canarsie,New York City-Brooklyn	,18858
Summer,Little Italy,New York City-Manhattan	,17158
Summer,Union Port,New York City-Bronx	,14979
Summer,Wakefield-Williamsbridge,New York City-Bronx	,14417
Summer,Hunts Point,New York City-Bronx	,13226
Summer,Glendale,New York City-Queens	,12858
Summer,North Sutton Area,New York City-Manhattan	,12486
Summer,Chinatown,New York City-Manhattan	,12434
Summer,Williams Bridge,New York City-Bronx	,12010
Summer,Battery Park,New York City-Manhattan	,12003
Summer,Saintalbans,New York City-Queens	,10699
Summer,Riverdale,New York City-Bronx	,9263
Summer,Throggs Neck,New York City-Bronx	,9030
Summer,Country Club,New York City-Bronx	,8456
Summer,Auburndale,New York City-Queens	,7605
Summer,Springfield Gardens,New York City-Queens	,7589
Summer,Bensonhurst,New York City-Brooklyn	,6172
Summer,Spuyten Duyvil,New York City-Bronx	,5830
Summer,Queens Village,New York City-Queens	,5696
Summer,Douglastown-Little Neck,New York City-Queens	,4921
Summer,Dyker Heights,New York City-Brooklyn	,3927
Summer,The Rockaways,New York City-Queens	,3628
Summer,Baychester,New York City-Bronx	,3537
Summer,Woodlawn-Nordwood,New York City-Bronx	,3330
Summer,Clearview,New York City-Queens	,3208
Summer,Laurelton,New York City-Queens	,2903
Summer,City Island,New York City-Bronx	,975
Summer,Corona,New York City-Queens	,388
Summer,Flatbush,New York City-Brooklyn	,322
Summer,Steinway,New York City-Queens	,23
Summer,Whitestone,New York City-Queens	,12
Summer,College Point,New York City-Queens	,1
Winter,Harlem,New York City-Manhattan	,514387
Winter,Astoria-Long Island City,New York City-Queens	,392959
Winter,Fort Green,New York City-Brooklyn	,354241
Winter,Upper West Side,New York City-Manhattan	,296475
Winter,Jackson Heights,New York City-Queens	,284069
Winter,Bedford-Stuyvesant,New York City-Brooklyn	,282387
Winter,Upper East Side,New York City-Manhattan	,278985
Winter,Williamsburg,New York City-Brooklyn	,255944
Winter,Washington Heights,New York City-Manhattan	,213621
Winter,East Harlem,New York City-Manhattan	,198776
Winter,Midtown,New York City-Manhattan	,170080
Winter,Park Slope,New York City-Brooklyn	,166565
Winter,Hamilton Heights,New York City-Manhattan	,163536
Winter,Sunny Side,New York City-Queens	,151533
Winter,Morningside Heights,New York City-Manhattan	,142574
Winter,Yorkville,New York City-Manhattan	,139506
Winter,South Bronx,New York City-Bronx	,134064
Winter,Forest Hills,New York City-Queens	,123837
Winter,Woodside,New York City-Queens	,118646
Winter,Mott Haven,New York City-Bronx	,95571
Winter,Bushwick,New York City-Brooklyn	,91770
Winter,Carroll Gardens,New York City-Brooklyn	,81782
Winter,High Bridge,New York City-Bronx	,80672
Winter,Nkew Gardens,New York City-Queens	,77283
Winter,Gramercy,New York City-Manhattan	,77172
Winter,Downtown,New York City-Brooklyn	,75163
Winter,Chelsea,New York City-Manhattan	,68922
Winter,Boerum Hill,New York City-Brooklyn	,65334
Winter,Lower East Side,New York City-Manhattan	,64912
Winter,Maspeth,New York City-Queens	,58005
Winter,East Village,New York City-Manhattan	,57763
Winter,Tremont,New York City-Bronx	,53532
Winter,Jamaica,New York City-Queens	,49502
Winter,Garment District,New York City-Manhattan	,48614
Winter,Greenwich Village,New York City-Manhattan	,44965
Winter,Inwood,New York City-Manhattan	,42560
Winter,Utopia,New York City-Queens	,41704
Winter,Clinton,New York City-Manhattan	,41093
Winter,Fordham,New York City-Bronx	,40782
Winter,Flushing,New York City-Queens	,40554
Winter,Morris Heights,New York City-Bronx	,39982
Winter,Woodhaven-Richmond Hill,New York City-Queens	,38547
Winter,Financial District,New York City-Manhattan	,37458
Winter,Bedford Park,New York City-Bronx	,37308
Winter,Carnegie Hill,New York City-Manhattan	,36406
Winter,Gravesend-Sheepshead Bay,New York City-Brooklyn	,35575
Winter,Parkchester,New York City-Bronx	,35483
Winter,Central Park,New York City-Manhattan	,34528
Winter,Murray Hill,New York City-Manhattan	,33114
Winter,University Heights,New York City-Bronx	,32393
Winter,Soho,New York City-Manhattan	,32330
Winter,Cobble Hill,New York City-Brooklyn	,31959
Winter,Ridgewood,New York City-Queens	,31649
Winter,Soundview,New York City-Bronx	,31353
Winter,Mapleton-Flatlands,New York City-Brooklyn	,27798
Winter,Tribeca,New York City-Manhattan	,26672
Winter,Greenwood,New York City-Brooklyn	,26127
Winter,West Village,New York City-Manhattan	,24664
Winter,Sunset Park,New York City-Brooklyn	,23231
Winter,East Brooklyn,New York City-Brooklyn	,22080
Winter,Borough Park,New York City-Brooklyn	,22040
Winter,Brownsville,New York City-Brooklyn	,21723
Winter,Middle Village,New York City-Queens	,21279
Winter,Kings Bridge,New York City-Bronx	,19376
Winter,Queensboro Hill,New York City-Queens	,19074
Winter,Morris Park,New York City-Bronx	,18344
Winter,Union Port,New York City-Bronx	,16773
Winter,Bay Ridge,New York City-Brooklyn	,16212
Winter,Little Italy,New York City-Manhattan	,15809
Winter,Canarsie,New York City-Brooklyn	,15527
Winter,Wakefield-Williamsbridge,New York City-Bronx	,14025
Winter,Hunts Point,New York City-Bronx	,13022
Winter,Glendale,New York City-Queens	,12093
Winter,Williams Bridge,New York City-Bronx	,11976
Winter,North Sutton Area,New York City-Manhattan	,11824
Winter,Chinatown,New York City-Manhattan	,10294
Winter,Battery Park,New York City-Manhattan	,9483
Winter,Saintalbans,New York City-Queens	,9473
Winter,Riverdale,New York City-Bronx	,8946
Winter,Throggs Neck,New York City-Bronx	,8479
Winter,Country Club,New York City-Bronx	,8369
Winter,Auburndale,New York City-Queens	,6865
Winter,Springfield Gardens,New York City-Queens	,6092
Winter,Spuyten Duyvil,New York City-Bronx	,5780
Winter,Bensonhurst,New York City-Brooklyn	,4976
Winter,Queens Village,New York City-Queens	,4713
Winter,Douglastown-Little Neck,New York City-Queens	,4123
Winter,Baychester,New York City-Bronx	,3539
Winter,Dyker Heights,New York City-Brooklyn	,3537
Winter,Woodlawn-Nordwood,New York City-Bronx	,2993
Winter,Clearview,New York City-Queens	,2911
Winter,Laurelton,New York City-Queens	,2489
Winter,The Rockaways,New York City-Queens	,1834
Winter,City Island,New York City-Bronx	,550
Winter,Corona,New York City-Queens	,203
Winter,Flatbush,New York City-Brooklyn	,185
Winter,Steinway,New York City-Queens	,35
Winter,Whitestone,New York City-Queens	,2
